#,Song Title,Artist,Vibe/Mood,Genre,Best For
37,violet,mell-ø,Dreamy / Soft,Jazz Lofi,Meditation
38,The Last Onod,Mondo Loops,Cinematic / Guitar,Cinematic Lofi,Deep work
39,Redemption Arc,Mondo Loops,Soulful / Guitar,Cinematic Lofi,Reflection
40,Fragments of Paradise,Mondo Loops,Delicate / Piano,Cinematic Lofi,Meditation
41,Ancient Stones,Mondo Loops & Kanisan,Uplifting / Textured,Cinematic Lofi,Creative work
42,Golden Age,Mondo Loops,Nostalgic / Warm,Cinematic Lofi,Evening chill
43,Petal,Idealism,Gentle / Soft,Chillhop,Study sessions
44,Bloom,Idealism,Fresh / Airy,Chillhop,Morning vibes
45,Reverie,Idealism,Dreamy / Float,Chillhop,Background music
46,Serenity,Idealism,Peaceful / Calm,Chillhop,Meditation
47,Yuquan Road,Saib,Jazz / Asian-inspired,Chillhop,Background music
48,Mango Tango,Saib,Tropical / Upbeat,Chillhop,Creative sessions
49,Caramel,Saib,Sweet / Smooth,Chillhop,Afternoon chill
50,Papaya,Saib,Exotic / Warm,Chillhop,Work focus
51,Coconut,Saib,Breezy / Relaxed,Chillhop,Weekend vibes
52,so alone for so long,frumhere,Sad / Introspective,Lofi Beats,Late night mood
53,warm feeling,frumhere & kevatta,Cozy / Warm,Lofi Hip Hop,Coffee & chill
54,faded,frumhere,Melancholic / Soft,Lofi Beats,Emotional study
55,numb,frumhere,Dreamy / Distant,Lofi Beats,Background music
56,Harbor,Tomppabeats,Nostalgic / Warm,Lofi Hip Hop,Study sessions
57,Tuesday,Tomppabeats,Cozy / Calm,Lofi Hip Hop,Morning vibes
58,A Midsummer Night's Dream,Tomppabeats,Magical / Soft,Lofi Hip Hop,Bedtime
59,Pacific,Tomppabeats,Oceanic / Breezy,Lofi Hip Hop,Relaxing
60,Rainy Days,Tomppabeats,Rainy / Cozy,Lofi Hip Hop,Rainy day vibes
61,Solitude,Jinsang,Lonely / Calm,Lofi Hip Hop,Late night
62,Life,Jinsang,Peaceful / Reflective,Lofi Hip Hop,Deep focus
63,Soul,Jinsang,Soulful / Warm,Lofi Hip Hop,Creative sessions
64,Acceptance,Jinsang,Peaceful / Healing,Lofi Hip Hop,Meditation
65,Daydream,Jinsang,Dreamy / Soft,Lofi Hip Hop,Afternoon chill
66,know,SwuM,Smooth / Jazzy,Lofi Hip Hop,Study
67,fa,SwuM,Mellow / Calm,Lofi Hip Hop,Background music
68,around,SwuM,Ambient / Soft,Lofi Hip Hop,Work focus
69,with u,SwuM,Warm / Romantic,Lofi Hip Hop,Evening chill
70,Beets 4,Birocratic,Funky / Quirky,Chillhop,Creative work
71,Strawberry Swing,Birocratic,Sweet / Upbeat,Chillhop,Morning vibes
72,Pasta,Birocratic,Playful / Light,Chillhop,Lunch break
73,Yoshi's Island,Birocratic,Nostalgic / Fun,Chillhop,Gaming vibes
74,Soleil Levant,L'Indécis,French / Romantic,Jazz Lofi,Morning coffee
75,Chill with me,L'Indécis,Smooth / Easy,Jazz Lofi,Relaxing
76,Evasion,L'Indécis,Dreamy / Escape,Jazz Lofi,Background music
77,Moving On,L'Indécis,Hopeful / Light,Jazz Lofi,Work focus
78,rainy day,Nymano,Rainy / Nostalgic,Lofi Hip Hop,Rainy day vibes
79,with you,Nymano,Romantic / Soft,Lofi Hip Hop,Evening chill
80,we used to talk,Nymano,Melancholic / Calm,Lofi Hip Hop,Late night
81,wander,Nymano,Free / Airy,Lofi Hip Hop,Morning walk
82,Flower Dance,DJ Okawari,Beautiful / Emotional,Piano Lofi,Study sessions
83,Mirror,DJ Okawari,Reflective / Calm,Piano Lofi,Meditation
84,A Cup of Tea,DJ Okawari,Cozy / Warm,Piano Lofi,Morning vibes
85,Abyss,DJ Okawari,Deep / Atmospheric,Piano Lofi,Deep focus
86,Where Do I Go,ninjoi.,Melancholic / Calming,Piano Lofi,Emotional study
87,Lost in Thought,ninjoi.,Introspective / Soft,Piano Lofi,Late night
88,Midnight Rain,ninjoi.,Rainy / Peaceful,Piano Lofi,Bedtime
89,Wishing Well,ninjoi.,Hopeful / Gentle,Piano Lofi,Morning vibes
90,snowfall,Øneheart & reidenshi,Cold / Dreamy,Ambient Lofi,Winter vibes
91,i miss you,Øneheart,Sad / Longing,Ambient Lofi,Late night
92,aurora,Øneheart,Ethereal / Glowing,Ambient Lofi,Meditation
93,drift,Øneheart,Floating / Calm,Ambient Lofi,Background music
94,Honey,Eevee,Sweet / Warm,Lofi Hip Hop,Study sessions
95,Sparkle,Eevee,Bright / Uplifting,Lofi Hip Hop,Morning vibes
96,Pastel,Eevee,Soft / Dreamy,Lofi Hip Hop,Creative sessions
97,Velvet,Eevee,Smooth / Cozy,Lofi Hip Hop,Evening chill
98,Lover is a Day,Cuco,Dreamy / Romantic,Indie Lofi,Afternoon chill
99,Hydrocodone,Cuco,Hazy / Smooth,Indie Lofi,Late night
100,Lo Que Siento,Cuco,Emotional / Warm,Indie Lofi,Evening vibes
101,Mellow,Flofilz,Smooth / Calm,Lofi Hip Hop,Study
102,Gemini,Flofilz,Cosmic / Dreamy,Lofi Hip Hop,Deep focus
103,Argo,Flofilz,Adventurous / Airy,Lofi Hip Hop,Work focus
104,Forest,Flofilz,Natural / Peaceful,Lofi Hip Hop,Meditation
105,21,Gracie Abrams Lofi,Emotional / Soft,Lofi Pop,Late night mood
106,Stay,Gracie Abrams Lofi,Longing / Gentle,Lofi Pop,Evening chill
107,Places,Shlohmo,Dark / Atmospheric,Dark Lofi,Late night
108,Rained the Whole Time,Shlohmo,Rainy / Moody,Dark Lofi,Rainy day vibes
109,Apricots,Shlohmo,Warm / Hazy,Dark Lofi,Afternoon chill
110,Praktic8,Knxwledge,Raw / Soulful,Lofi Hip Hop,Old school vibes
111,1988,Knxwledge,Nostalgic / Warm,Lofi Hip Hop,Background music
112,Wrldsyn,Knxwledge,Dreamy / Soft,Lofi Hip Hop,Creative sessions
113,Feeling Good,Emapea,Positive / Uplifting,Chillhop,Morning vibes
114,Afternoon Nap,Emapea,Lazy / Warm,Chillhop,Afternoon chill
115,Smooth Ride,Emapea,Easy / Breezy,Chillhop,Drive vibes
116,Moonwalk,Emapea,Cool / Smooth,Chillhop,Evening chill
117,Caffe Latte,Chief Takinawa,Cafe / Jazzy,Jazz Lofi,Coffee shop vibes
118,Espresso Morning,Chief Takinawa,Fresh / Energetic,Jazz Lofi,Morning focus
119,Tea Time,Chief Takinawa,Cozy / Soft,Jazz Lofi,Afternoon break
120,rain,Kainbeats,Rainy / Calm,Lofi Beats,Rainy day
121,sunday morning,Kainbeats,Lazy / Cozy,Lofi Beats,Weekend vibes
122,hometown,Kainbeats,Nostalgic / Warm,Lofi Beats,Reflection
123,slow down,Kainbeats,Relaxed / Easy,Lofi Beats,Wind down
124,Spring,idealism,Fresh / Blooming,Chillhop,Morning study
125,Tea,idealism,Warm / Calm,Chillhop,Afternoon break
126,Nest,idealism,Cozy / Soft,Chillhop,Bedtime
127,Blossom,idealism,Gentle / Uplifting,Chillhop,Creative work
128,Seasons,Philanthrope x Idealism,Changing / Rich,Chillhop,Study sessions
129,Balance,Philanthrope x Idealism,Harmony / Calm,Chillhop,Meditation
130,Cherry Blossom,Lofi Fruits,Spring / Gentle,Ambient Lofi,Morning vibes
131,Waterfall,Lofi Fruits,Natural / Flowing,Ambient Lofi,Background music
132,Golden Hour,Lofi Fruits,Warm / Glowing,Ambient Lofi,Evening chill
133,Moonlight,Lofi Fruits,Nocturnal / Soft,Ambient Lofi,Bedtime
134,Floating,ystr,Ethereal / Calm,Ambient Lofi,Meditation
135,Drift Away,ystr,Gentle / Free,Ambient Lofi,Deep focus
136,Pastel Sky,ystr,Dreamy / Soft,Ambient Lofi,Creative sessions
137,Lofi Good Feeling,Hiro Nakanishi,Nostalgic / Youthful,Lofi Beats,Morning vibes
138,Sakura Walk,Hiro Nakanishi,Japanese / Peaceful,Lofi Beats,Background music
139,Night City,Hiro Nakanishi,Urban / Cool,Lofi Beats,Late night work
140,Story Time,Lian Kyla,Narrative / Warm,Indie Lofi,Creative sessions
141,Game Over,Lian Kyla,Nostalgic / Playful,Indie Lofi,Gaming vibes
142,Bookworm,Lian Kyla,Cozy / Intellectual,Indie Lofi,Reading
143,Bedtime Stories,frumhere & kevatta,Soothing / Sleepy,Lofi Hip Hop,Bedtime
144,Late Nights,kevatta,Moody / Dark,Lofi Hip Hop,Late night
145,Cloudy,kevatta,Overcast / Calm,Lofi Hip Hop,Rainy day
146,Book of Shadows,Solar Body,Atmospheric / Mystical,Lofi Beats,Study sessions
147,Orbit,Solar Body,Cosmic / Dreamy,Lofi Beats,Deep focus
148,Stardust,Solar Body,Ethereal / Glowing,Lofi Beats,Meditation
149,salus,Dimension 32,Atmospheric / Calm,Lofi Beats,Work focus
150,Echo,Dimension 32,Reverberant / Deep,Lofi Beats,Background music
151,Void,Dimension 32,Dark / Empty,Lofi Beats,Late night
152,Lofi Rain,Nowyouknow,Rainy / Cozy,Ambient Lofi,Rainy day vibes
153,Thunder Study,Nowyouknow,Storm / Focus,Ambient Lofi,Study sessions
154,After the Rain,Nowyouknow,Fresh / Calm,Ambient Lofi,Morning vibes
155,Nostalgic,Bmyshadow,Late Evening / Emotional,Lofi Hip Hop,Unwinding
156,Midnight Memories,Bmyshadow,Dark / Warm,Lofi Hip Hop,Late night
157,Soft Glow,Bmyshadow,Gentle / Warm,Lofi Hip Hop,Evening chill
158,jazz guitar,monomenu,Smooth / Jazzy,Jazz Lofi,Reading
159,fried drums,monomenu,Quirky / Rhythmic,Jazz Lofi,Creative work
160,slow motion,monomenu,Relaxed / Easy,Jazz Lofi,Afternoon chill
161,Fantasia Vol. II,Lucid Keys,Dreamy / Cinematic,Ambient Lofi,Deep focus
162,Midnight Sonata,Lucid Keys,Classical / Calm,Piano Lofi,Late night study
163,Reverie,Lucid Keys,Floating / Soft,Piano Lofi,Meditation
164,Golden Week,iamalex & Felty & susan,Uplifting / Breezy,Chillhop,Daytime chill
165,Spring Afternoon,iamalex,Warm / Sunny,Chillhop,Outdoor vibes
166,Blue Skies,iamalex,Clear / Uplifting,Chillhop,Morning focus
167,Day 9. Watermelon Arcade,Juju B. Goode,Upbeat / Fun,Lofi Hip Hop,Creative sessions
168,Summer Vibes,Juju B. Goode,Sunny / Happy,Lofi Hip Hop,Afternoon fun
169,Easy Rider,Juju B. Goode,Laid-back / Cool,Lofi Hip Hop,Drive vibes
170,Snowfall,Øneheart & reidenshi,Winter / Dreamy,Ambient Lofi,Winter chill
171,Coffee Shop Lullaby,Various,Cozy / Cafe,Jazz Lofi,Cafe vibes
172,Midnight in Tokyo,Various,Urban / Nocturnal,City Lofi,Late night work
173,Autumn Leaves Lofi,Various,Seasonal / Warm,Ambient Lofi,Autumn vibes
174,Study with Me,Various,Focused / Calm,Lofi Beats,Study sessions
175,Rainy Window,Various,Rainy / Introspective,Ambient Lofi,Rainy day
176,Sunset Boulevard,Various,Cinematic / Warm,Cinematic Lofi,Evening drive
177,Rooftop Garden,Various,Fresh / Urban,Chillhop,Morning coffee
178,Library Hours,Various,Quiet / Focused,Lofi Beats,Reading
179,Late Night Drive,Various,Nocturnal / Cool,City Lofi,Night drive
180,Seaside Morning,Various,Ocean / Fresh,Ambient Lofi,Morning vibes
181,Stargazing,Various,Cosmic / Dreamy,Ambient Lofi,Late night
182,Forest Bathing,Various,Natural / Peaceful,Ambient Lofi,Meditation
183,Brick Lane,Various,Urban / Gritty,Chillhop,Creative work
184,Cozy Corner,Various,Warm / Inviting,Lofi Beats,Home vibes
185,Jazz Basement,Various,Dark / Jazzy,Jazz Lofi,Late night jazz
186,Vinyl Crackle,Various,Retro / Nostalgic,Lo-fi Hip Hop,Old school vibes
187,3am Thoughts,Various,Introspective / Dark,Lofi Beats,Late night mood
188,Sunday Reset,Various,Calm / Refreshing,Chillhop,Weekend vibes
189,Pillow Talk,Various,Soft / Intimate,Ambient Lofi,Bedtime
190,Golden Ratio,Various,Perfect / Balanced,Chillhop,Study sessions
191,Lavender Sky,Various,Purple / Dreamy,Ambient Lofi,Evening chill
192,Neon Nights,Various,Urban / Electric,City Lofi,Night work
193,Bamboo Garden,Various,Zen / Natural,Ambient Lofi,Meditation
194,Lemon Tree,Various,Fresh / Citrus,Chillhop,Morning focus
195,Midnight Bloom,Various,Nocturnal / Floral,Ambient Lofi,Late night
196,Soft Serve,Various,Sweet / Light,Chillhop,Afternoon break
197,Puddle Jumper,Various,Rainy / Playful,Lofi Beats,Rainy day
198,Foggy Morning,Various,Misty / Calm,Ambient Lofi,Morning vibes
199,Teahouse Sessions,Various,Cozy / Warm,Jazz Lofi,Relaxing
200,Last Train Home,Various,Nostalgic / Moving,City Lofi,Commute vibes
